review_text,rating,actual_sentiment,predicted_lr,predicted_nb
Perfect fit for my Sears compactor. Heavy and strong.,5.0,Positive,Positive,Positive
"Was able to use for my machine, which is a Farberware single cup. Taking the kcup holder and putting this in with the ground brew, I did not see any water coming out from around it. * Definitely do not fill above the mesh!",5.0,Positive,Positive,Positive
"I've been using Keurig official ones for a long time. On this package, one of the screens ripped off the plastic rim after less than a month of normal, daily use. This has never happened to me before; normally they get so caked with old coffee that I throw them out and replace. The second one in this package has lived up to expectations however.",3.0,Neutral,Negative,Negative
Love these for making one cup of coffee. We use them on the boat,5.0,Positive,Positive,Positive
We have been buying this for years and Love it! It really helps with build up when you get a bit lazy in cleaning the machine and filters. It makes the filters last a bit longer as well.,5.0,Positive,Positive,Positive
"i use this item set for my stove , i will be buying agian as they looked just like ones in walmart , thanks amazon for another amazing product",5.0,Positive,Positive,Positive
"[[VIDEOID:9ffcbe92a24d32925c8c1096ef3d761c]] I enjoy this product! Once you’ve found the right amount of ground coffee, which depends on the brand, fixing a great cup is easy. Clean up is easy and after several weeks of use I haven’t seen any issues with it or my Nespresso machine, despite what some other reviews say. I still get a froth like the Nespresso pods although it isn’t as thick or creamy, I bet it is just how I am handling it though. Make sure you pack the grounds tightly because this helps keep it clean and easy to remove. I’m a happy customer and glad I gave this product a try!",5.0,Positive,Positive,Positive
"Never buy a Samsung product!<br /><br />If I don’t get rid of the water under the crisper, pull-out drawer, I get a sheet of ice. After the sheet of ice forms, there is water on the floor. I won’t even mention the humidity inside the thing.<br /><br />There are complaints all over the Internet, about this refrigerator, going back many years!<br /><br />There have been Class Action lawsuits, about this<br />.<br />Owners of this “thing” should have been notified about the problem, and there should have been a recall.<br /><br />Samsung should have fixed it.<br /><br />I can’t figure out, why they haven’t been sued, on an individual basis.<br /><br />I’m trying to find a lawyer.<br /><br />Let me repeat: NEVER BUY A SAMSUNG PRODUCT!<br /><br />Apparently, they have also been sued about an exploding cellphone.<br /><br />You have been warned!",1.0,Negative,Positive,Positive
"Works as advertised, but they easily slide, so you need some weight on it, especially if you're going to be storing things in the side pockets. When we first bought our washer & dryer, I wanted something like this to prevent scratches at the top. I never got around to it, that was 12 yrs ago. LOL! I always use old bath towels. Now we finally have something specifically made for this. 5-Stars!",5.0,Positive,Positive,Positive
"This is an excellent compact dishwasher that is perfect for a small space. It is about the size of a large microwave. I found that it is light enough for one person to maneuver, but it's easier with two people. It has a good capacity for such a compact unit. It's easy to operate and comes with a power cord and connection hoses. It's likely that you'll have to purchase an additional adapter to fit your faucet.<br /><br />The dishwasher looks nice and operates with minimal noise. The item comes securely packaged in Styrofoam to ensure it will arrive in good working order. This is a convenient and practical dishwasher for a small living space.",5.0,Positive,Positive,Positive
The lighter spark stays on sometimes,3.0,Neutral,Positive,Positive
"I've seen video reviews of products such as this BOSALY Ice Maker Machine.  It promises to make ice in 9 minutes and I gotta say, it does just that.  This ice maker can make two sizes of ice.  In my testing, small ice cubes can be made in 9 minutes while the large one takes 11.  I think it is necessary to set some expectations for this unit for those who are interested.  If you know these things ahead of time, you will not be disappointed by your purchase:<br /><br />This ice maker is fairly heavy, but that is to be expected because of the compressor.  Also due to the compressor, this until will not work with power from a car adapter so as far as portability, you'd need to make sure there is a wall outlet or a generator that you can plug it into or you'll be draining a lot of battery power.<br /><br />It must also be pointed out that the ice made by this machine is quite wet due to how the ice is made.  It means that if you make ice with this machine, then put them into your freezer, you'll end up with one big lump of ice.<br /><br />With that said, this machine does EXACTLY what I want it to do: make ice during a small gathering without the need for much oversight.  Just make sure the water tank is filled.<br /><br />Here are the features I like:<br />-- Portable.  Be the savior of the party by bringing the ice maker for a friend's party.<br />-- Auto stop when the water level is low or the basket is filled.<br />-- Plug at the bottom allows draining of excess water.<br />-- FAST.  9 pieces of ice cube are made with each batch.  That's enough for two cups.<br />-- Convenient.  Make sure the machine is filled with water and plugged in.  Come back once in a while to dump out the basket to make more ice or to refill the water.<br />-- Useful.  This will definitely make a difference during a party.  There are too many other things to worry about when preparing for guests.<br /><br />Overall, great product.",5.0,Positive,Positive,Positive
Fit perfectly in my Aicok single coffee maker. They are a little easier to clean if you let the coffee grounds dry out a little then dump them.,5.0,Positive,Positive,Positive
"Bought June 28th this year and already it has blown.  This is by far the worse one yet.<br />I know I have to replace every year, one being replacement parts without spending 60$ each this is what you deal with. 2 I don't use AC in summer time and in the Alabama heat, it's really  hard on them. But I've never had one blow in just a few months.  My I suggest buying a different one somewhere else.  The life time warrenty...warranty.... we'll I'll update for that because I'm trying to get it replaced or refunded now. So time will tell and so will I as soon as I have the info for you.",1.0,Negative,Negative,Negative
It works!!,5.0,Positive,Positive,Positive
"I have an LG LDS4821ST that needs a replacement heater part with this model number. Unfortunately, this one does not make a good seal around the opening, causing the part to leak when the tub fills with water during a cycle.<br />The etching/writing on it looks a little bit different from the one it is replacing, as well as the material used for the rubber gasket (the older one looks like it has a line/crease going through the middle, this one does not). I tried one from a different supplier (not on Amazon) and it also claimed to be a real LG part yet looks like this one and also leaks. On that one, I was told maybe I had to tighten it more, so I tightened the nut and it still leaked. I tightened it more, and it still leaked again. Finally I took it out to my old one back in (it doesn't heat, but at least I can clean my dishes on the Quick cycle without the drying mode) and it worked fine. The one I overtightened came out bent from tightening it so hard the metal actually warped. No one can claim I didn't try tightening it enough now.<br /><br />I'm guessing they changed the manufacturing and the new ones don't seal properly in the older washers like mine. The older one went in and sealed without overly tightening it again. I'm not sure where to find a good one other than ebay now for a used one.<br />Some people claim this works for them, so I'm guessing they have newer washers than mine. Two stars because it's a good price compared to other suppliers online if this model works for you. Otherwise, if you're trying to revive an older washer like mine, I'd say go elsewhere. Zero stars.",2.0,Negative,Negative,Negative
"I like the size of this and the fact that it doesn't require filters. This is good for travelling and even camping, since it is relatively easy to use and clean and doesn't require much else to work. The mesh is good about keeping the grounds out of your coffee, however I did notice a little more at the bottom of my cup than I do with a paper filter. Perhaps I need to try a more coarse grind, as fine grounds are getting through a little.<br />What makes it so petite are the arms that fold up for storage and then fold out to hold itself over the cup. The only issue with this, however, is that the arms hold the filter partially submerged, so you can never fill the cup to the top. If using with a tall mug, this is fine, especially if you leave room for milk. But with a standard 8 or 10 oz disposable cup, you might find that you can't get enough coffee out of it at a time as the filter sits about 1/4 of the cup down.<br />It definitely has its uses, but know the limitations before you get it.",4.0,Positive,Positive,Positive
"This is the 5th one I've bought - all the previous ones were nicked by my friends or I gave them away. Look, good coffee anywhere is not difficult. You pack this, and some filters in your kit. If you are going somewhere with good coffee, get it there, if not, put some nice ground coffee in a bag and add that to your kit. If you will be somewhere with mugs, use those, if not, add a mug to your kit. So if you will be on a ship crossing the Pacific with only instant coffee on board for 4 weeks you pack this doohicky, about 30 filters, enough ground coffee for 30 days, your favorite mug, and you're set! Easier to clean than a french press, far less breakable too.  I just added a kit to my tiny travel trailer. Just say NO to coffee pods!",5.0,Positive,Positive,Positive
Bought these hoping they would be more durable than others I have tried.  The coffee is disappointingly weak. Will be trying another style.,2.0,Negative,Negative,Negative
"Straight forward replacement, seems to be holding up, but granted it's only been a month.",5.0,Positive,Positive,Positive
"The first machine we got didn't work. We tried everything. Seller was awesome and shipped out another one. That one worked with no problems at all. It makes ice fast. It's so nice for my kitchen staff. The only thing that I don't like is that all the ice cubes come out in one piece and you have to break them into the cubes. Other than that, I am happy with this machine.",5.0,Positive,Positive,Positive
"After one month of use, the plastic hinge that retains the lid broke from normal open and closing.  The durability of the hinge is its weakest part.  Is this why Brewslang gives you four filters expecting this product quality problem?  It is very easy to lose the tiny lid and like to slide into the sink's garbage disposal.",3.0,Neutral,Positive,Negative
My order came fast and was an excellent value!!,5.0,Positive,Positive,Positive
I used the vanes from this on to replace broken ones on my dryer vent.  They fit nicely and work great.,5.0,Positive,Positive,Positive
"This was my very first time using a pizza oven.  It took MANY tries to get it lit.  After giving up a few times and trying again and again, I did get it lit.<br /><br />It is hard to comprehend but after only 30 seconds you will need to rotate your pizza 180 degrees to help it cook more evenly.  Every 20 seconds might even be better.<br /><br />I got no instructions as how to cook pizza in it.  I had to watch videos and read online about them.<br /><br />Be sure to preheat your oven.  YouTube videos say to preheat it for about 20 minutes on high.  I did this.  I used a infrared thermometer to check the heat on the pizza stone at the front and the back.  There was well over 200 degrees difference on the front and back of the stone.  Is this normal?<br /><br />There has to be a much better design with more even heat.<br /><br />I was very excited to get this.  I went out and got enough stuff to make many pizzas.  I was so underwhelmed with the whole thing that I will probably make my next pizza in the oven.  I can actually see in my oven.  You can’t see the back of the pizza in this pizza oven, so it is hard to tell when it is burning.  Since the front is not done, it can fool you.<br /><br />I am guessing that after this sits around for a while and doesn’t get used that I will give it away.<br /><br />Sorry, this just not live up to my hopes.",3.0,Neutral,Positive,Positive
These work great and cost less than going to a hardware store and buying factory filters.<br /><br />We are both happy.  We saved money and they work great.,5.0,Positive,Positive,Positive
"The gap cover appears to be made of good high quality material and even though it came folded in half, there is no problem with it laying flat. Overall fit and function so far is exactly as advertised and I would buy this again if needed.",5.0,Positive,Positive,Positive
Excellent product and Excellent service,5.0,Positive,Positive,Positive
This did fit because of the Chip for GE.,5.0,Positive,Negative,Positive
"What to say. Just a perfect addition to the venting system. Dryer vent faces the wall and the flexible hose would get squashed, reducing the drying ability and being a potential hazard. This directs the hose upwards and eliminates the constriction",5.0,Positive,Positive,Positive
It was cheaper than my regular one and does just as good a job if not better.,4.0,Positive,Positive,Positive
Love ❤ it.  Works well.,5.0,Positive,Positive,Positive
Does the job,5.0,Positive,Positive,Positive
Arrived quickly easy to install and works great,5.0,Positive,Positive,Positive
"Bought these to replace the OEM filter for the first time.  Slightly difference in form but I don't think it is adversely affecting the filter.  Made it slightly harder to understand how the filter fit.  I would like to give them 4.5 stars but that is not a choice, no long term use as of yet.",4.0,Positive,Positive,Positive
"OK - so I have a GE ""Quietpower 3"" or something like that dishwasher.  My wife and kids refuse to get all of the stuck on food off of the dishes before loading the dishwasher.  This causes the food to become mixed with the water, and get pumped through the pump and back through the spray arms.  Things like Rice and Stickers off of new cups and you name it clog up the arms, EXPECIALLY this center arm.  My dishwasher has a lower spinning arm on the bottom of the tub, this one attaches to the underside of the top rack, and then there is the top arm at the top of the dishwasher which is pretty useless.  I have taken the arms off at least 50 times and cleaned them by hand in the tub, soaking in vinegar, using pipe cleaners and wire to clear them out.  I finally gave up when something got caught inside that I couldn't dislodge.  THIS WORKED LIKE A CHARM.  However, here is something IMPORTANT FOR ALL TO READ.  When you take off the arm under the top rack - KEEP THE SCREW AND WASHER THAT COME OUT.  This arm does not have a new replacement screw or washer, and you'll need that to reinstall new arm.  This is not a defect or anything - It is just good information to have before you throw out the screw and washer and then have to go digging through the garbage to find it again, clean it and be able to put the new arm on.  Also - the part number from GE and the part number for this arm (and pretty much all other arms for dishwashers) do not match.  I simply eyeballed the picture and it looked identical and took a chance.  It is identical.  Works great.  Wife is happy.  I'll probably end up buying another to pre-plan for the next clog that occurs when my family decides to put a bowl full of rice into the dishwasher without rinsing it out first.",5.0,Positive,Positive,Positive
Fit my coffee maker just right,5.0,Positive,Positive,Positive
"it must not have been stored properly ,on the way here. we let it sit straight up for days, and did everything the troubleshooting said to do. it took five days before it even came on, the first time. was loud and jiggled .put a board underneath to make sure it was level. it never came on again. and my love has terribly large bruises ,on his arm, from trying to get it back in the box,to ship back, by himself. he wasted many hours . it caused a lot of trouble.",1.0,Negative,Negative,Negative
"We've purchased four of these from Amazon. The first had great flavor and flow the full 200 gallons/6 months.<br /><br />The second started tasting horrid in under a month.<br /><br />The third tasted fine but slowed to a trickle within a couple of weeks. It would say it took 70+oz to fill a 16oz glass.<br /><br />I'm returning the third one and have a fourth filter in — the third in less than two months. If it doesn't last, I'm switching to Kenwood coz this is ridiculous.",2.0,Negative,Negative,Negative
"For anyone who wants to try pour over coffee or just wants a simple, economical way to make a cup of coffee at home, I highly recommend this little gem of a product. It's lightweight, doesn't stain, is easy to clean and makes a darn good cup of coffee.<br /><br />Note that almost all grocery stores sell the #2 cone filter you need for this product under their store brand and in bulk, making it even less expensive to use. You can also find reusable mesh #2 cone filters if you prefer.<br /><br />Great for camping/hiking as it's so lightweight (assuming you have a vessel in which to boil water with you already, which I would hope you would!).",5.0,Positive,Positive,Positive
My dishwasher has no indicator light when dishes are clean so we ended up mixing in more dirty dishes. This is a perfect solution,5.0,Positive,Positive,Positive
"We eat out a lot and like to run small loads in the dishwasher. sadly though this very high end and expensive dishwasher has broken 2x in 3 years.it is the actuators that lower the top seal down. it costs $750 with parts and labor to fix. next time, its going in the garbage and we're buying a workhorse. Honestly, for a lightly used machine it really stinks. Love the idea....too bad its a lemon. I have read dozens and dozens of stories about this machine on line, so apparently we're not the only ones who have had problems.",1.0,Negative,Negative,Negative
Arrows show correct installation and color shows correct item,5.0,Positive,Positive,Positive
Excellent product for my coffee maker. No complaints.,5.0,Positive,Positive,Positive
These work great if you have a refillable that gets grounds in your cup.  But they're unnecessary if your refillable works.,5.0,Positive,Positive,Positive
One day I was at a friends house and I saw this as he was making us some coffee. I asked him where to get one. He told me Amazon had them so I came home and checked it out man I’m really glad that I got one of these because it’s hard to fill my k cup With the little spoon I was using after using this I am spoiled. I would only have one of these. They are really nice. Thanks for stopping by and checking the review out.,5.0,Positive,Positive,Positive
"Pump was an exact match to my Kenmore HE5t steam washer.  Installation is simple.  Just remove lower panel below door with three screws.  Pump is held in place by only two screws through bottom of washer,  two water hose clamps, and the electrical connection.  Be sure to unplug washer first!  My washer is on a pedestal which required me to remove the 4 screws holding them together.  I then gently slid the washer forward off the pedestal just far enough to access the two screws for the pump on the bottom of the machine.  My pump was trashed by a thumbtack.  Be sure to clean the strainer out on this pump occasionally.  It wasn't obvious to me and it cost me.",5.0,Positive,Positive,Positive
This is a stainless 12 oz. pitcher which is shaped to allow easy frothing.  The best feature is that it costs less than $5.,5.0,Positive,Positive,Positive
Exact replacement !!,5.0,Positive,Positive,Positive
The price.,5.0,Positive,Positive,Positive
good things,5.0,Positive,Positive,Positive
"When our range died and we replaced it, the new one had a gap between it and the granite countertops. For the past year I have used the silicone “gap fillers” only to have them move around and constantly need cleaning. I decided to take a risk and by these and I am so happy. The gap is gone, and it looks nice again.",5.0,Positive,Positive,Positive
"No issues with their filters. No leaks, water tastes good, and product build is certified.",5.0,Positive,Positive,Positive
"I just installed this Waterdrop Water Filter in our Samsung refrigerator and it worked great! Our refrigerator &#34;filter&#34; light came on, letting me know that it was time to replace it. I looked it up on Amazon, and there was both the genuine Samsung part, and the compatible generic part. Sometimes I'm wary of the generic ones because they may not necessarily use all the same filtering material as the OEM, but this was at a lower price, and who doesn't like saving money? I've used another generic filter for our fridge before, and it worked great too. This time I had the opportunity to try this one, so I went for it. I ordered this one, and it came quickly with instructions on how to replace the old one with it. It was really simple, basically just taking the old one out of its little hole in the bottom of the refrigerator section and putting this one in its place. You have to run the water a bit after you first install it because it comes out a little wild at first, but that's true with any new filter. We've been using it for a couple days now, it seems to work great, I can't tell the difference between this one and the old original Samsung filter. I will update if anything changes, but I would recommend saving some money and going with this one.<br />I received this product at a discounted rate in exchange for product testing and a fair and unbiased review. I am under no obligation to provide a positive review and received no incentives or rewards for doing so. My goal is to highlight features and drawbacks that I would want to know about as a buyer, not hype the product for the manufacturer to increase sales. My remarks are sincere and true. I work very hard trying to write insightful and thoughtful reviews for each item. My goal is ensure that these reviews are helpful to others. My opinions are my own and I thoroughly believe in keeping the integrity of Amazon reviews legitimate to help the community make the best choices. It is just my own opinion and experience with the product, your own opinion and experience may vary. I received no monetary compensation and I am not required to give a good review. Just looking at my public profile and you will see I don't hand out many 5 star reviews. They need to be earned for me to recommend a product regardless of the price I paid.<br />Kindly click 'Yes' below if you found my review helpful.",5.0,Positive,Positive,Positive
These work great. My coffee has less silty residue when I use these filters in my refillable cup. They also make cleaning up much simpler.,5.0,Positive,Positive,Positive
"I bought these reusable K-Cups for myself a few years back and have loved them so much. With other similar products I've tried in the past, either the coffee came out incredibly silty, the mesh broke easily, or the lid was fragile and broke off the cup. Instead, with these cute magenta reusable K-Cups,  the coffee they produce is delightfully potent and grounds-free! When my parents visited over the holidays, they used them as well and found that they too like them and coveted mine. I ended up ordering a 4 pack for them as well and they are both highly pleased :)<br />Not only are these easy to fill, easy to clean, and portable, but they are friendly for the environment and help to save tons of money off  store-bought prefilled disposable K-cups.",5.0,Positive,Positive,Positive
I ordered this product and its looks wonderful. The seller packed item well unfortunately I couldn't use it it won't fit my style refrigerator. I still have item but my post office wouldn't print up the return sticker. Much appreciated to Amazon and this seller.,5.0,Positive,Negative,Positive
Love these and fit the Hamilton beach single and pot coffee maker,5.0,Positive,Positive,Positive
"Washes well,  for perfectly in my coffeemaker. Well made",5.0,Positive,Positive,Positive
Worked perfectly to replace old drip pans.,5.0,Positive,Positive,Positive
"I've had a lot of portable and manual washing options; I love minimizing the space and resource commitment to laundry.<br /><br />I could have fixed this easily enough, but it's not awesome when working.<br /><br />I'd value this unit at about $10, when working, and if you can't turn a wrench, I'd suggest you pass.<br /><br />(After owning bunches of alternative laundry systems, I'd say it's pretty hard to beat the portable washer and spin dryer combo. Panda works well. I use a manual system because I appreciate the forced exercise.)",1.0,Negative,Positive,Positive
Too large for DeLongi coffee maker. Try a universal K pod. NO specific reusable pod found by brand of coffee maker. Returned,3.0,Neutral,Negative,Positive
easy to install and fit like a glove.  water tastes much better,5.0,Positive,Positive,Positive
"This thing makes your water taste better, and I'm a believer!<br /><br />I live in Cincinnati, which has a fairly modern and effective city-wide filtering system. Even so, the water tastes better out of the refrigerator thanks to this little filter. And it's so much easier than those awful Brita pitchers.<br /><br />Since my water is already pretty good, I tend to let it go a little longer than the refrigerator indicator says, but I can tell when I have a new filter in, because the water tastes just a little bit better.<br /><br />The Amazon subscription service makes this so easy, the only painful part is flushing 4 gallons of water when I put the new one in. Go ahead and subscribe and stop thinking about it, and stop having to remind yourself.",5.0,Positive,Positive,Positive
"Definitely equals the Samsung filter, that sells for way more money. I appreciate products like this, that shatters the monopoly of a company, and offers a monetarily better option for consumers like me. A happy camper.",5.0,Positive,Positive,Positive
Great product! Great price!,5.0,Positive,Positive,Positive
Love this coffee maker. When our keyring died thought I would give this a try based on reviews glad I did. Makes great cup of coffee,5.0,Positive,Positive,Positive
Great product fixed my problem instantly.,5.0,Positive,Positive,Positive
Perfect fit!,5.0,Positive,Positive,Positive
Great product!,5.0,Positive,Positive,Positive
This is bargain priced very small but perfect! - same item in store over $30.00 - just fill with water and attach the flexible hose and you are ready to go - great for condo or apartment living!,5.0,Positive,Positive,Positive
good product and i didn't have to go to the store to get it at a higher price.,5.0,Positive,Positive,Positive
To thin and they don't  fit well,4.0,Positive,Negative,Positive
Works!,5.0,Positive,Positive,Positive
Perfect...even better quality than i was expecting.  Holds both my filter sizes (just like the pic.),5.0,Positive,Positive,Positive
It's a water filter. Nuff said.,5.0,Positive,Positive,Positive
Best filter ever!!! The price was cheap compared to the LG brand filter. Install was easy one I figured it all out (we just bought the house so hard af for me). Shipping was super fast. Just make sure to purge water for a minute or two after install. The water was cloudy until I filled a few glasses of water and dumped it.,5.0,Positive,Positive,Positive
This water filter has performed just fine and was about $30 cheaper than going back to the appliance store where we bought the refrigerator.,5.0,Positive,Positive,Positive
holding up and doing its job,5.0,Positive,Positive,Positive
they will work fine when I get my coffee maker,5.0,Positive,Positive,Positive
Turns our bad tasting water into crisp cold water.  There seems to be lots of cheap imitation out there.  Be sure to buy from Amazon to get the genuine product.,5.0,Positive,Negative,Positive
"Purchased this belt for my Maytag Washing Machine. This belt is interchangeable with both brands and the price was a third of what you'll pay if you purchase it from these so-called appliance websites. Don't know how to replace a belt on a washing machine? Go on Youtube and you'll laugh your head off when you find out how simple it is to install. Fact is, once you unscrew the washer, you'll see how simple most washing machines operate. More often than not, when your machine fails to spin and/or doesn't expel water it's usually your water pump or belt. My advice is to change both at the same time; especially when you've opened up the cover. Take digital pictures of your belt and/or water pump setup before removal.",5.0,Positive,Positive,Positive
This fit like a glove,5.0,Positive,Positive,Positive
"Worked as expected, quality GE product. Water tastes good. Would recommend and will buy again.",5.0,Positive,Positive,Positive
Fit my machine nicely,5.0,Positive,Positive,Positive
Works great,5.0,Positive,Positive,Positive
"I was afraid that these would not fit my fridge, but they are perfect!!",5.0,Positive,Positive,Positive
"This logger records both temperature and relative humidity (RH), These are great for those who are doing a short travel and need to keep a constant temperature. It has a temperature and humidity status display. It is also ideal for monitoring scientific experiments, like when your child has a science project, you could teach him/her how to use this while doing the project. Also used with ventilation and air conditioning systems.<br />You get in your Package the following items:<br />1 x THC-4 Data Logger<br />1 x CR2450 battery (Installed inside)<br />1 x External Sensor<br />1 x USB Cable<br />1 x Software installation CD<br />1 x Instruction Manual<br /><br />has a 6-12 month battery life<br />'I received this item at a discount for my honest and unbiased review.",4.0,Positive,Positive,Positive
"I'm not dead, and no leaks.",5.0,Positive,Negative,Positive
"The machine is nice a little bit complicated to run compared to other machines I’ve had in the past however once you get it down then it’s fairly easy what I don’t like is there is no pressure release valve between the connection and the Fossett to release pressure so the water sprays all over the place when you pull the adapter off of the Faucet I have contacted the company they suggested I buy anadapter to prevent this I did hope it works. Definitely want a cart if you will be rolling , cleans well as long as you don’t stuff machine but cleans good , spins pretty dry another downside no place to put your hoses after use yes one can Precariously hang one of them a little opening on the side of the machine but it doesn’t like to stay there they need to provide a way to hang and drain hoses",3.0,Neutral,Positive,Positive
Great deal for my mr coffee maker,5.0,Positive,Positive,Positive
works as attended,5.0,Positive,Positive,Positive
This is a good product. Pro's: Cheaper in bulk and last about 4 months. The biggest con is removing these things from your fridge. I know have to use a wrench and screwdriver to pry these out of my fridge.,3.0,Neutral,Positive,Positive
Sturdy and well made. At $3.50 this is the lowest price I've found and they seem to be exactly like the higher priced ones.,5.0,Positive,Positive,Positive
Quick and easy if you refill your pods,5.0,Positive,Positive,Positive
My 2 year old grandchild hit it witha toy and it broke.,1.0,Negative,Negative,Positive
I love it! Needs a pump to get the water up and out though. It drains so it's in the tub!,5.0,Positive,Positive,Positive
Was a direct replacement for the old bathroom fan and at a very good price.,5.0,Positive,Positive,Positive
Great product for K machines. Easy to use but best part is cheaper than K cups and waste can be composted easily.,5.0,Positive,Positive,Positive
"Excellent seller, very fast shipping and the exact right part. Thanks.15 minutes to install.",5.0,Positive,Positive,Positive
LOVE HAVING ICE ALL THE TIME,5.0,Positive,Positive,Positive
work well,5.0,Positive,Positive,Positive
Works amazing and love the color,5.0,Positive,Positive,Positive
"I use this type of product on all my electronics.  This one is odd in that it has a warm up time of four minutes, before use.  I don't know why.  No other has this unusual wait to see when it is OK to plug in the refrigerator.  Hope it works, as we get a lot of big lightning storms.",4.0,Positive,Positive,Positive
